"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"273",13,"Amari Cooper",FA,"WR97","-","-","+96"
"274",13,"Tre Tucker",LV,"WR98","8","4 out of 5 stars","+132"
"275",13,"Parker Washington",JAC,"WR99","8","4 out of 5 stars","+231"
"276",13,"Ollie Gordon II",MIA,"RB81","12","4 out of 5 stars","+6"
"277",13,"Noah Gray",KC,"TE33","10","3 out of 5 stars","-8"
"278",13,"Ty Johnson",BUF,"RB82","7","4 out of 5 stars","+165"
"279",13,"Tyler Shough",NO,"QB32","11","5 out of 5 stars","+54"
"280",13,"Tim Patrick",DET,"WR100","8","3 out of 5 stars","+46"
"281",13,"Joe Flacco",CLE,"QB33","9","2 out of 5 stars","+2"
"282",13,"Sean Tucker",TB,"RB83","9","3 out of 5 stars","+32"
"283",13,"Xavier Restrepo",TEN,"WR101","10","4 out of 5 stars","+35"
"284",13,"Theo Johnson",NYG,"TE34","14","2 out of 5 stars","+26"
"285",13,"Jordan James",SF,"RB84","14","3 out of 5 stars","-10"
"286",13,"Jalen Nailor",MIN,"WR102","6","2 out of 5 stars","+91"
"287",13,"Khalil Herbert",IND,"RB85","11","2 out of 5 stars","+233"
"288",13,"Jacory Croskey-Merritt",WAS,"RB86","12","2 out of 5 stars","-70"
"289",13,"Luke McCaffrey",WAS,"WR103","12","3 out of 5 stars","+34"
"290",13,"Noah Fant",CIN,"TE35","10","2 out of 5 stars","-11"
"291",13,"Darren Waller",MIA,"TE36","12","3 out of 5 stars","-103"
"292",13,"Dameon Pierce",HOU,"RB87","6","2 out of 5 stars","+66"
"293",13,"Dont'e Thornton Jr.",LV,"WR104","8","4 out of 5 stars","-46"
"294",13,"Isaiah Davis",NYJ,"RB88","9","5 out of 5 stars","+441"
"295",13,"Chicago Bears",CHI,"DST19","5","2 out of 5 stars","-87"
"296",13,"Alexander Mattison",MIA,"RB89","12","4 out of 5 stars","+140"
"297",13,"Taysom Hill",NO,"TE37","11","3 out of 5 stars","-60"
"298",13,"Tory Horton",SEA,"WR105","8","3 out of 5 stars","+5"
"299",13,"Sincere McCormick",LV,"RB90","8","2 out of 5 stars","+176"
"300",13,"Terrance Ferguson",LAR,"TE38","8","4 out of 5 stars","-22"
"301",13,"Christian Watson",GB,"WR106","5","2 out of 5 stars","+33"
"302",13,"Jaxson Dart",NYG,"QB34","14","1 out of 5 stars","-48"
"303",13,"Daniel Carlson",LV,"K16","8","3 out of 5 stars","-73"
"304",13,"Kimani Vidal",LAC,"RB91","12","2 out of 5 stars","+208"
"305",13,"Jermaine Burton",CIN,"WR107","10","3 out of 5 stars","+34"
"306",13,"Oronde Gadsden II",LAC,"TE39","12","3 out of 5 stars","+99"
"307",13,"Isaac TeSlaa",DET,"WR108","8","3 out of 5 stars","-68"
"308",13,"Damien Martinez",SEA,"RB92","8","3 out of 5 stars","+127"
"309",13,"Gabe Davis",FA,"WR109","-","-","-"
"310",13,"Zack Moss",FA,"RB93","-","-","-85"
"311",13,"Ty Chandler",MIN,"RB94","6","3 out of 5 stars","+63"
"312",13,"Chris Brooks",GB,"RB95","5","4 out of 5 stars","+198"
"313",13,"Tyler Higbee",LAR,"TE40","8","4 out of 5 stars","-41"
"314",13,"Tez Johnson",TB,"WR110","9","3 out of 5 stars","+80"
"315",13,"Jason Myers",SEA,"K17","8","5 out of 5 stars","-28"
"316",14,"Emanuel Wilson",GB,"RB96","5","4 out of 5 stars","+128"
"317",14,"Chris Rodriguez Jr.",WAS,"RB97","12","2 out of 5 stars","+304"
"318",14,"Will Reichard",MIN,"K18","6","0 out of 5 stars","-84"
"319",14,"Will Dissly",LAC,"TE41","12","3 out of 5 stars","+24"
"320",14,"Tyrod Taylor",NYJ,"QB35","9","5 out of 5 stars","+316"
"321",14,"New England Patriots",NE,"DST20","14","4 out of 5 stars","-104"
"322",14,"Shedeur Sanders",CLE,"QB36","9","2 out of 5 stars","-78"
"323",14,"Ben Sinnott",WAS,"TE42","12","3 out of 5 stars","+62"
"324",14,"Tutu Atwell",LAR,"WR111","8","3 out of 5 stars","+5"
"325",14,"Tyler Loop",BAL,"K19","7","2 out of 5 stars","-112"
"326",14,"Phil Mafah",DAL,"RB98","10","2 out of 5 stars","+437"
"327",14,"Tyler Conklin",LAC,"TE43","12","3 out of 5 stars","-10"
"328",14,"Miami Dolphins",MIA,"DST21","12","2 out of 5 stars","-70"
"329",14,"Ray-Ray McCloud III",ATL,"WR112","5","3 out of 5 stars","-4"
"330",14,"Raheim Sanders",LAC,"RB99","12","2 out of 5 stars","+601"
"331",14,"Zamir White",LV,"RB100","8","2 out of 5 stars","+17"
"332",14,"Jordan Whittington",LAR,"WR113","8","3 out of 5 stars","+25"
"333",14,"John Metchie III",HOU,"WR114","6","4 out of 5 stars","+204"
"334",14,"Arizona Cardinals",ARI,"DST22","8","4 out of 5 stars","-120"
"335",14,"Justin Tucker",FA,"K20","-","-","-68"
"336",14,"Gus Edwards",FA,"RB101","-","-","+256"
"337",14,"Jalen Milroe",SEA,"QB37","8","4 out of 5 stars","-66"
"338",14,"Noah Brown",WAS,"WR115","12","3 out of 5 stars","+117"
"339",14,"Samaje Perine",CIN,"RB102","10","4 out of 5 stars","-46"
"340",14,"Josh Reynolds",NYJ,"WR116","9","4 out of 5 stars","+301"
"341",14,"Demarcus Robinson",SF,"WR117","14","4 out of 5 stars","+85"
"342",14,"Tai Felton",MIN,"WR118","6","2 out of 5 stars","+141"
"343",14,"A.J. Dillon",PHI,"RB103","9","3 out of 5 stars","-58"
"344",14,"Dawson Knox",BUF,"TE44","7","3 out of 5 stars","-48"
"345",14,"KaVontae Turpin",DAL,"WR119","10","2 out of 5 stars","-45"
"346",14,"Marquez Valdes-Scantling",SEA,"WR120","8","3 out of 5 stars","-19"
"347",14,"Cam Akers",NO,"RB104","11","4 out of 5 stars","+181"
"348",14,"Michael Mayer",LV,"TE45","8","2 out of 5 stars","-49"
"349",14,"Troy Franklin",DEN,"WR121","12","3 out of 5 stars","-59"
