"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"350",14,"Spencer Rattler",NO,"QB38","11","5 out of 5 stars","+97"
"351",14,"Isaiah Bond",FA,"WR122","-","-","-"
"352",14,"Savion Williams",GB,"WR123","5","2 out of 5 stars","+94"
"353",14,"Jake Moody",SF,"K21","14","5 out of 5 stars","-117"
"354",14,"Luke Musgrave",GB,"TE46","5","2 out of 5 stars","-35"
"355",14,"Tank Dell",HOU,"WR124","6","4 out of 5 stars","-58"
"356",14,"Kirk Cousins",ATL,"QB39","5","4 out of 5 stars","-49"
"357",14,"AJ Barner",SEA,"TE47","8","4 out of 5 stars","-35"
"358",14,"Chimere Dike",TEN,"WR125","10","4 out of 5 stars","+542"
"359",14,"New York Giants",NYG,"DST23","14","1 out of 5 stars","-174"
"360",14,"Eddy Pineiro",FA,"K22","-","-","+140"
"361",14,"Curtis Samuel",BUF,"WR126","7","3 out of 5 stars","+64"
"362",14,"Jameis Winston",NYG,"QB40","14","1 out of 5 stars","-22"
"363",14,"Donovan Edwards",NYJ,"RB105","9","5 out of 5 stars","+272"
"364",14,"Brandon McManus",GB,"K23","5","3 out of 5 stars","-148"
"365",14,"Jaylin Lane",WAS,"WR127","12","3 out of 5 stars","+65"
"366",14,"Dillon Gabriel",CLE,"QB41","9","2 out of 5 stars","+267"
"367",14,"Gunnar Helm",TEN,"TE48","10","3 out of 5 stars","+401"
"368",15,"Robert Woods",PIT,"WR128","5","4 out of 5 stars","-3"
"369",15,"Greg Dortch",ARI,"WR129","8","4 out of 5 stars","+99"
"370",15,"Mack Hollins",NE,"WR130","14","3 out of 5 stars","-4"
"371",15,"Kenny Pickett",CLE,"QB42","9","2 out of 5 stars","+169"
"372",15,"KeAndre Lambert-Smith",LAC,"WR131","12","3 out of 5 stars","+20"
"373",15,"Theo Wease Jr.",MIA,"WR132","12","3 out of 5 stars","-"
"374",15,"Trey Sermon",PIT,"RB106","5","4 out of 5 stars","+301"
"375",15,"Matt Prater",FA,"K24","-","-","+117"
"376",15,"Hunter Renfrow",CAR,"WR133","14","4 out of 5 stars","-46"
"377",15,"LeQuint Allen Jr.",JAC,"RB107","8","2 out of 5 stars","+146"
"378",15,"Antwane Wells Jr.",NYG,"WR134","14","2 out of 5 stars","-"
"379",15,"Austin Hooper",NE,"TE49","14","3 out of 5 stars","-35"
"380",15,"Washington Commanders",WAS,"DST24","12","4 out of 5 stars","-190"
"381",15,"Allen Lazard",NYJ,"WR135","9","4 out of 5 stars","+36"
"382",15,"Luke Schoonmaker",DAL,"TE50","10","2 out of 5 stars","+1"
"383",15,"Van Jefferson",TEN,"WR136","10","4 out of 5 stars","+112"
"384",15,"Jahan Dotson",PHI,"WR137","9","3 out of 5 stars","-73"
"385",15,"Emari Demercado",ARI,"RB108","8","3 out of 5 stars","+333"
"386",15,"Cam Little",JAC,"K25","8","5 out of 5 stars","-92"
"387",15,"Jacob Cowing",SF,"WR138","14","4 out of 5 stars","+95"
"388",15,"Ameer Abdullah",SF,"RB109","14","3 out of 5 stars","+404"
"389",15,"Ja'Quinden Jackson",JAC,"RB110","8","2 out of 5 stars","+381"
"390",15,"Tommy Tremble",CAR,"TE51","14","4 out of 5 stars","+64"
"391",15,"Foster Moreau",NO,"TE52","11","3 out of 5 stars","+190"
"392",15,"Chad Ryland",ARI,"K26","8","3 out of 5 stars","-71"
"393",15,"Mason Rudolph",PIT,"QB43","5","4 out of 5 stars","-9"
"394",15,"Olamide Zaccheaus",CHI,"WR139","5","2 out of 5 stars","+4"
"395",15,"Jordan Watkins",SF,"WR140","14","4 out of 5 stars","+363"
"396",15,"Deshaun Watson",CLE,"QB44","9","2 out of 5 stars","-46"
"397",15,"Jonathon Brooks",CAR,"RB111","14","3 out of 5 stars","+116"
"398",15,"Malachi Corley",NYJ,"WR141","9","4 out of 5 stars","+193"
"399",15,"Kyle Juszczyk",SF,"RB112","14","3 out of 5 stars","-19"
"400",15,"Kendrick Bourne",NE,"WR142","14","3 out of 5 stars","+22"
"401",15,"Kalel Mullings",TEN,"RB113","10","2 out of 5 stars","+500"
"402",15,"Jamari Thrash",CLE,"WR143","9","2 out of 5 stars","+132"
"403",15,"Michael Gallup",WAS,"WR144","12","3 out of 5 stars","+169"
"404",15,"Bub Means",NO,"WR145","11","4 out of 5 stars","+193"
"405",15,"Ja'Lynn Polk",NE,"WR146","14","3 out of 5 stars","+206"
"406",15,"Jonathan Mingo",DAL,"WR147","10","2 out of 5 stars","+295"
"407",15,"Devontez Walker",BAL,"WR148","7","3 out of 5 stars","+54"
"408",15,"Atlanta Falcons",ATL,"DST25","5","3 out of 5 stars","-120"
"409",15,"Grant Calcaterra",PHI,"TE53","9","3 out of 5 stars","-78"
"410",15,"Indianapolis Colts",IND,"DST26","11","4 out of 5 stars","-165"
"411",15,"Javon Baker",NE,"WR149","14","3 out of 5 stars","+147"
"412",15,"Jake Bobo",SEA,"WR150","8","3 out of 5 stars","-57"
"413",15,"JuJu Smith-Schuster",KC,"WR151","10","3 out of 5 stars","-100"
"414",15,"KhaDarel Hodge",ATL,"WR152","5","3 out of 5 stars","+165"
"415",15,"Zay Jones",ARI,"WR153","8","4 out of 5 stars","+378"
"416",15,"Cade Stover",HOU,"TE54","6","3 out of 5 stars","+209"
"417",15,"Jalin Hyatt",NYG,"WR154","14","2 out of 5 stars","-36"
"418",15,"Cincinnati Bengals",CIN,"DST27","10","2 out of 5 stars","-176"
"419",15,"Arian Smith",NYJ,"WR155","9","4 out of 5 stars","+167"
"420",15,"Aidan O'Connell",LV,"QB45","8","3 out of 5 stars","-31"
"421",15,"Josh Oliver",MIN,"TE55","6","3 out of 5 stars","-59"
"422",15,"Craig Reynolds",DET,"RB114","8","2 out of 5 stars","-63"
"423",15,"Alec Ingold",MIA,"RB115","12","4 out of 5 stars","+378"
"424",15,"Jeremy Ruckert",NYJ,"TE56","9","3 out of 5 stars","+158"
"425",15,"Jake Haener",NO,"QB46","11","5 out of 5 stars","+282"
"426",15,"Blake Grupe",NO,"K27","11","5 out of 5 stars","-131"
"427",15,"Clyde Edwards-Helaire",NO,"RB116","11","4 out of 5 stars","+44"
"428",15,"Joe Milton III",DAL,"QB47","10","2 out of 5 stars","-90"
"429",15,"Will Howard",PIT,"QB48","5","4 out of 5 stars","-93"
"430",15,"Marcus Yarns",NO,"RB117","11","4 out of 5 stars","+490"
"431",15,"Mitchell Evans",CAR,"TE57","14","4 out of 5 stars","+3"
"432",15,"Darnell Washington",PIT,"TE58","5","3 out of 5 stars","-83"
"433",15,"Greg Dulcich",NYG,"TE59","14","2 out of 5 stars","+394"
"434",15,"D'Ernest Johnson",BAL,"RB118","7","4 out of 5 stars","+373"
"435",15,"Kalif Raymond",DET,"WR156","8","3 out of 5 stars","-79"
"436",15,"Julian Hill",MIA,"TE60","12","3 out of 5 stars","-5"
"437",16,"Rondale Moore",MIN,"WR157","6","2 out of 5 stars","+99"
"438",16,"Stone Smartt",NYJ,"TE61","9","3 out of 5 stars","+261"
"439",16,"Jimmy Horn Jr.",CAR,"WR158","14","4 out of 5 stars","-134"
"440",16,"Marcus Mariota",WAS,"QB49","12","2 out of 5 stars","-22"
"441",16,"Elijah Higgins",ARI,"TE62","8","5 out of 5 stars","-44"
"442",16,"Cordarrelle Patterson",FA,"RB119","-","-","+159"
"443",16,"Michael Carter",ARI,"RB120","8","3 out of 5 stars","+231"
"444",16,"Malik Willis",GB,"QB50","5","2 out of 5 stars","-68"
"445",16,"Cairo Santos",CHI,"K28","5","1 out of 5 stars","-159"
"446",16,"Pierre Strong Jr.",CLE,"RB121","9","4 out of 5 stars","+239"
"447",16,"Mac Jones",SF,"QB51","14","4 out of 5 stars","-75"
"448",16,"Jeremy McNichols",WAS,"RB122","12","2 out of 5 stars","+40"
"449",16,"Patrick Taylor Jr.",SF,"RB123","14","3 out of 5 stars","+141"
"450",16,"Chris Tyree",NO,"RB124","11","4 out of 5 stars","+334"
"451",16,"Ronnie Rivers",LAR,"RB125","8","3 out of 5 stars","+390"
"452",16,"Deuce Vaughn",DAL,"RB126","10","2 out of 5 stars","-62"
"453",16,"Sam Howell",MIN,"QB52","6","2 out of 5 stars","+33"
"454",16,"Hunter Long",JAC,"TE63","8","3 out of 5 stars","+364"
"455",16,"Zach Wilson",MIA,"QB53","12","5 out of 5 stars","-6"
"456",16,"Jake Browning",CIN,"QB54","10","2 out of 5 stars","+43"
"457",16,"Derius Davis",LAC,"WR159","12","3 out of 5 stars","+162"
"458",16,"Tyler Goodson",IND,"RB127","11","2 out of 5 stars","+151"
"459",16,"Treylon Burks",TEN,"WR160","10","4 out of 5 stars","+223"
"460",16,"Kylen Granson",PHI,"TE64","9","3 out of 5 stars","+153"
"461",16,"Michael Burton",DEN,"RB128","12","2 out of 5 stars","+100"
"462",16,"Hassan Haskins",LAC,"RB129","12","2 out of 5 stars","+39"
"463",16,"Harrison Bryant",PHI,"TE65","9","3 out of 5 stars","+198"
"464",16,"Thomas Fidone II",NYG,"TE66","14","2 out of 5 stars","+457"
"465",16,"Ezekiel Elliott",FA,"RB130","-","-","-56"
"466",16,"Tyler Johnson",NYJ,"WR161","9","4 out of 5 stars","+139"
"467",16,"Josh Whyle",TEN,"TE67","10","3 out of 5 stars","+149"
"468",16,"Brevin Jordan",HOU,"TE68","6","3 out of 5 stars","+64"
"469",16,"Jimmy Garoppolo",LAR,"QB55","8","3 out of 5 stars","-69"
"470",16,"Colby Parkinson",LAR,"TE69","8","4 out of 5 stars","+61"
"471",16,"Carson Steele",KC,"RB131","10","2 out of 5 stars","-89"
"472",16,"John Bates",WAS,"TE70","12","3 out of 5 stars","+204"
"473",16,"Dylan Laube",LV,"RB132","8","2 out of 5 stars","+258"
"474",16,"Cooper Rush",BAL,"QB56","7","3 out of 5 stars","-88"
"475",16,"Tyler Badie",DEN,"RB133","12","2 out of 5 stars","+60"
"476",16,"Julius Chestnut",TEN,"RB134","10","2 out of 5 stars","-16"
"477",16,"Taylor Heinicke",LAC,"QB57","12","3 out of 5 stars","+161"
"478",16,"Johnny Mundt",JAC,"TE71","8","3 out of 5 stars","-"
